manufacturer_id,name
176,BHURJEE MOTOR PVT LTD
177,BHUVANESHWARI WORKS AND LATHE
178,BIBHU MOTORS INDIA PVT LTD
179,BISTI WELDING AND LATHE WORKS
180,BMW INDIA PVT LTD
181,BROOKE BOND INDIA LTD
182,BSA MOTORS
183,C A I INDUSTRIS
184,CAPARO AUTOTECH LIMITED
185,CAPTAIN TRACTORS PVT. LTD.
186,CASE EQUIPMENT PRIVATE LTD
187,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD
188,CATERPILLAR INDIA PRIVATE LIMITED
189,CATERPILLAR S A R L
190,CAUVERY AGRO EQUIPMENTS P LTD
191,CENTURY MOTORS PVT LTD
192,CHAMUNDI INDUSTRIES
193,CHANADAN AGRO IND.
194,CHAND ENG WORKS
195,CHANDAN ENTERPRISES
196,CHATELEC VEHICLES INDIA LTD
197,CHERAN TRAILERS
198,CHETTINADU TRAILER MT
199,CHEVROLET SALES INDIA PVT LTD
200,CHITRA AGRO INDUSTRIES
201,CHRYSLER MOTORS PVT LTD
202,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD
203,CLAAS INDIA P LTD
204,CLASSIC LEGENDS PVT LTD
205,CNH INDUSTRIAL (INDIA) PVT LTD
206,CREATIVE ENGINEERING WORKS
207,D C INDIA PVT LTD
208,D G ENGINEERING WORKS
209,D S R AUTOMOTIVES (INDIA) PVT LTD
210,D S S INDUSTRIES
211,DADAPEER INDUSTRIES WORKS
212,DAEWOO MOTORS INDIA LTD
213,DAIMLER AG
214,DAIMLER CHRYSLER INDIA PVT LTD
215,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD
216,DALIP SINGH AND SONS
217,DASANUR AGRO EQUIPMENTS
218,DASHMESH MECH WORKS PVT LTD
219,DASHMESH TRADERS
220,DASMESH AGRICULTURAL INDUSTRIES PVT LTD
221,DATTA INDUSTRIES
222,DAYA ENTERPRISES
223,DD AUTO PVT LTD
224,DEIVAM TRAILERS
225,DEMAGE MOTORS LTD
226,DEV AGRO INDUSTRIES
227,DEVI ENGINEERING WORKS
228,DEVI TRACTOR TRAILOR INDUSTRIE
229,DEVIKA INDUSTRIAL LTD
230,DHARMA AGRO INDUSTRIES
231,DHARMANAND INDUSTRIES
232,DHARMAND TRAILERS
233,DHARMASTHALA ENGINEERING
234,DHIMAN AGRICULTURAL WORKS
235,DHIMAN BROTHERS
236,DIDAR MOTORS
237,DIGVIJAY ENGINEERING WORKS
238,DILAWAR AUTO INDUSTRIES
239,DILAWAR ENGINEERING WORKS
240,DIVANSHU AUTOMOBILES LIMITED
241,DIVYA SHAKTI AGRO INDUSTRIES
242,DNYANESHWAR STILL AND WELDING
243,DUCATI MOTOR HOLDING S.P.A
244,DULEVO INTERNATIONAL
245,DURGA ENGINEERING WORKS
246,DWARKADHISH AUTO
247,EAASHAN AGRO TRADERS
248,EDDY CURRENT CONTROLS (I) LTD
249,EICHER MOTORS LTD
250,EICHER TRACTORS
251,EIMCO ELECON
252,EKO VEHICLE PRIVATE LIMITED
253,ELECTROMOBILES INDIA LTD
254,ELECTROTHERM (I) LIMITED
255,ELECTROTHERM (INDIA) LIMITED
256,ENGREEN MOTOR CO LTD
257,ENNES ENGINEERING PVT LTD
258,ESCORT JCB LTD
259,ESCORTS AUTOMOTIVE LTD
260,ESCORTS CONSTRUCTION EQUIPMENT LTD
261,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)
262,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)
263,ESCORTS LTD
264,ESCORTS R&D CENTRE
265,ESCORTS TRACTORS LTD
266,EXPO MACHINERY LTD
267,FAIYAZA FAIYAZ AUTO PVT
268,FAME TRACTOR
269,FARM EQUIPMENT LTD
270,FARM MECHANISE INDUSTRIES
